Roll No.,Professional Elective 1,Professional Elective 2,Core Section
2229001,,,CSE-01
2229002,,,CSE-03
2229003,,,CSE-01
2229004,,,CSE-02
2229005,,,CSE-01
2229006,,,CSE-01
2229008,,,CSE-02
2229009,,,CSE-03
2229010,,,CSE-03
2229011,,,CSE-02
2229012,,,CSE-03
2229013,,,CSE-01
2229015,,,CSE-01
2229016,,,CSE-03
2229017,,,CSE-03
2229018,,,CSE-01
2229019,,,CSE-03
2229020,,,CSE-01
2229021,,,CSE-03
2229022,,,CSE-01
2229023,,,CSE-03
2229024,,,CSE-01
2229025,,,CSE-01
2229026,,,CSE-01
2229027,,,CSE-02
2229029,,,CSE-01
2229030,,,CSE-03
2229031,,,CSE-02
2229032,,,CSE-01
2229033,,,CSE-02
2229034,,,CSE-01
2229035,,,CSE-03
2229036,,,CSE-01
2229037,,,CSE-03
2229038,,,CSE-02
2229041,,,CSE-01
2229042,,,CSE-01
2229043,,,CSE-02
2229044,,,CSE-01
2229045,,,CSE-02
2229046,,,CSE-02
2229048,,,CSE-01
2229049,,,CSE-01
2229050,,,CSE-03
2229051,,,CSE-02
2229052,,,CSE-01
2229053,,,CSE-02
2229054,,,CSE-02
2229055,,,CSE-02
2229056,,,CSE-01
2229057,,,CSE-03
2229059,,,CSE-03
2229060,,,CSE-03
2229061,,,CSE-03
2229062,,,CSE-02
2229063,,,CSE-03
2229064,,,CSE-03
2229065,,,CSE-02
2229066,,,CSE-02
2229067,,,CSE-03
2229068,,,CSE-02
2229069,,,CSE-02
2229070,,,CSE-01
2229071,,,CSE-01
2229072,,,CSE-03
2229073,,,CSE-02
2229075,,,CSE-03
2229076,,,CSE-03
2229077,,,CSE-02
2229078,,,CSE-01
2229079,,,CSE-01
2229080,,,CSE-02
2229081,,,CSE-01
2229082,,,CSE-01
2229083,,,CSE-02
2229084,,,CSE-03
2229085,,,CSE-03
2229087,,,CSE-01
2229088,,,CSE-03
2229090,,,CSE-03
2229091,,,CSE-01
2229092,,,CSE-02
2229093,,,CSE-02
2229095,,,CSE-03
2229096,,,CSE-02
2229098,,,CSE-01
2229099,,,CSE-03
2229100,,,CSE-03
2229101,,,CSE-03
2229102,,,CSE-03
2229103,,,CSE-01
2229104,,,CSE-01
2229105,,,CSE-01
2229106,,,CSE-03
2229108,,,CSE-02
2229109,,,CSE-02
2229110,,,CSE-03
2229111,,,CSE-01
2229112,,,CSE-03
2229113,,,CSE-02
2229114,,,CSE-03
2229115,,,CSE-03
2229116,,,CSE-03
2229117,,,CSE-03
2229118,,,CSE-03
2229119,,,CSE-03
2229120,,,CSE-03
2229121,,,CSE-03
2229122,,,CSE-02
2229124,,,CSE-03
2229125,,,CSE-01
2229126,,,CSE-03
2229127,,,CSE-01
2229128,,,CSE-01
2229129,,,CSE-01
2229130,,,CSE-01
2229131,,,CSE-03
2229132,,,CSE-03
2229133,,,CSE-01
2229134,,,CSE-03
2229136,,,CSE-02
2229137,,,CSE-02
2229138,,,CSE-02
2229139,,,CSE-03
2229140,,,CSE-01
2229141,,,CSE-01
2229142,,,CSE-02
2229143,,,CSE-02
2229144,,,CSE-01
2229145,,,CSE-03
2229146,,,CSE-03
2229147,,,CSE-02
2229148,,,CSE-01
2229150,,,CSE-01
2229151,,,CSE-01
2229152,,,CSE-02
2229154,,,CSE-01
2229155,,,CSE-02
2229156,,,CSE-02
2229157,,,CSE-02
2229158,,,CSE-03
2229159,,,CSE-01
2229160,,,CSE-01
2229162,,,CSE-02
2229163,,,CSE-03
2229164,,,CSE-01
2229165,,,CSE-01
2229166,,,CSE-03
2229167,,,CSE-02
2229168,,,CSE-01
2229169,,,CSE-02
2229170,,,CSE-03
2229172,,,CSE-01
2229173,,,CSE-03
2229176,,,CSE-02
2229177,,,CSE-02
2229178,,,CSE-02
2229179,,,CSE-01
2229180,,,CSE-01
2229181,,,CSE-01
2229182,,,CSE-02
2229183,,,CSE-02
2229185,,,CSE-01
2229186,,,CSE-02
2229187,,,CSE-02
2229189,,,CSE-02
2229190,,,CSE-02
2229191,,,CSE-02
2229192,,,CSE-03
2229193,,,CSE-01
2229194,,,CSE-03
2229195,,,CSE-03
2229196,,,CSE-03
2229197,,,CSE-03
