Roll Number,Professional Elective 1,Professional Elective 2,Core Section
2229001,,,CSCE-01
2229002,,,CSCE-03
2229003,,,CSCE-01
2229004,,,CSCE-02
2229005,,,CSCE-01
2229006,,,CSCE-01
2229008,,,CSCE-02
2229009,,,CSCE-03
2229010,,,CSCE-03
2229011,,,CSCE-02
2229012,,,CSCE-03
2229013,,,CSCE-01
2229015,,,CSCE-01
2229016,,,CSCE-03
2229017,,,CSCE-03
2229018,,,CSCE-01
2229019,,,CSCE-03
2229020,,,CSCE-01
2229021,,,CSCE-03
2229022,,,CSCE-01
2229023,,,CSCE-03
2229024,,,CSCE-01
2229025,,,CSCE-01
2229026,,,CSCE-01
2229027,,,CSCE-02
2229029,,,CSCE-01
2229030,,,CSCE-03
2229031,,,CSCE-02
2229032,,,CSCE-01
2229033,,,CSCE-02
2229034,,,CSCE-01
2229035,,,CSCE-03
2229036,,,CSCE-01
2229037,,,CSCE-03
2229038,,,CSCE-02
2229041,,,CSCE-01
2229042,,,CSCE-01
2229043,,,CSCE-02
2229044,,,CSCE-01
2229045,,,CSCE-02
2229046,,,CSCE-02
2229048,,,CSCE-01
2229049,,,CSCE-01
2229050,,,CSCE-03
2229051,,,CSCE-02
2229052,,,CSCE-01
2229053,,,CSCE-02
2229054,,,CSCE-02
2229055,,,CSCE-02
2229056,,,CSCE-01
2229057,,,CSCE-03
2229059,,,CSCE-03
2229060,,,CSCE-03
2229061,,,CSCE-03
2229062,,,CSCE-02
2229063,,,CSCE-03
2229064,,,CSCE-03
2229065,,,CSCE-02
2229066,,,CSCE-02
2229067,,,CSCE-03
2229068,,,CSCE-02
2229069,,,CSCE-02
2229070,,,CSCE-01
2229071,,,CSCE-01
2229072,,,CSCE-03
2229073,,,CSCE-02
2229075,,,CSCE-03
2229076,,,CSCE-03
2229077,,,CSCE-02
2229078,,,CSCE-01
2229079,,,CSCE-01
2229080,,,CSCE-02
2229081,,,CSCE-01
2229082,,,CSCE-01
2229083,,,CSCE-02
2229084,,,CSCE-03
2229085,,,CSCE-03
2229087,,,CSCE-01
2229088,,,CSCE-03
2229090,,,CSCE-03
2229091,,,CSCE-01
2229092,,,CSCE-02
2229093,,,CSCE-02
2229095,,,CSCE-03
2229096,,,CSCE-02
2229098,,,CSCE-01
2229099,,,CSCE-03
2229100,,,CSCE-03
2229101,,,CSCE-03
2229102,,,CSCE-03
2229103,,,CSCE-01
2229104,,,CSCE-01
2229105,,,CSCE-01
2229106,,,CSCE-03
2229108,,,CSCE-02
2229109,,,CSCE-02
2229110,,,CSCE-03
2229111,,,CSCE-01
2229112,,,CSCE-03
2229113,,,CSCE-02
2229114,,,CSCE-03
2229115,,,CSCE-03
2229116,,,CSCE-03
2229117,,,CSCE-03
2229118,,,CSCE-03
2229119,,,CSCE-03
2229120,,,CSCE-03
2229121,,,CSCE-03
2229122,,,CSCE-02
2229124,,,CSCE-03
2229125,,,CSCE-01
2229126,,,CSCE-03
2229127,,,CSCE-01
2229128,,,CSCE-01
2229129,,,CSCE-01
2229130,,,CSCE-01
2229131,,,CSCE-03
2229132,,,CSCE-03
2229133,,,CSCE-01
2229134,,,CSCE-03
2229136,,,CSCE-02
2229137,,,CSCE-02
2229138,,,CSCE-02
2229139,,,CSCE-03
2229140,,,CSCE-01
2229141,,,CSCE-01
2229142,,,CSCE-02
2229143,,,CSCE-02
2229144,,,CSCE-01
2229145,,,CSCE-03
2229146,,,CSCE-03
2229147,,,CSCE-02
2229148,,,CSCE-01
2229150,,,CSCE-01
2229151,,,CSCE-01
2229152,,,CSCE-02
2229154,,,CSCE-01
2229155,,,CSCE-02
2229156,,,CSCE-02
2229157,,,CSCE-02
2229158,,,CSCE-03
2229159,,,CSCE-01
2229160,,,CSCE-01
2229162,,,CSCE-02
2229163,,,CSCE-03
2229164,,,CSCE-01
2229165,,,CSCE-01
2229166,,,CSCE-03
2229167,,,CSCE-02
2229168,,,CSCE-01
2229169,,,CSCE-02
2229170,,,CSCE-03
2229172,,,CSCE-01
2229173,,,CSCE-03
2229176,,,CSCE-02
2229177,,,CSCE-02
2229178,,,CSCE-02
2229179,,,CSCE-01
2229180,,,CSCE-01
2229181,,,CSCE-01
2229182,,,CSCE-02
2229183,,,CSCE-02
2229185,,,CSCE-01
2229186,,,CSCE-02
2229187,,,CSCE-02
2229189,,,CSCE-02
2229190,,,CSCE-02
2229191,,,CSCE-02
2229192,,,CSCE-03
2229193,,,CSCE-01
2229194,,,CSCE-03
2229195,,,CSCE-03
2229196,,,CSCE-03
2229197,,,CSCE-03
2229198,,,CSCE-01
2229199,,,CSCE-02
2229200,,,CSCE-01
2229201,,,CSCE-03
2229202,,,CSCE-02
2229204,,,CSCE-02
2229206,,,CSCE-03
2229207,,,CSCE-01
2229208,,,CSCE-03
2229209,,,CSCE-01
2229028,,,CSCE-02
2229161,,,CSCE-02
2229203,,,CSCE-02
2229175,,,CSCE-03
2229149,,,CSCE-03
2228001,,,CSSE-02
2228002,,,CSSE-01
2228003,,,CSSE-02
2228004,,,CSSE-02
2228005,,,CSSE-02
2228006,,,CSSE-02
2228007,,,CSSE-02
2228008,,,CSSE-02
2228009,,,CSSE-02
2228011,,,CSSE-02
2228012,,,CSSE-02
2228013,,,CSSE-02
2228014,,,CSSE-02
2228015,,,CSSE-02
2228016,,,CSSE-02
2228017,,,CSSE-01
2228018,,,CSSE-02
2228019,,,CSSE-02
2228020,,,CSSE-02
2228021,,,CSSE-02
2228022,,,CSSE-01
2228023,,,CSSE-01
2228024,,,CSSE-02
2228025,,,CSSE-02
2228026,,,CSSE-02
2228027,,,CSSE-02
2228028,,,CSSE-01
2228029,,,CSSE-02
2228030,,,CSSE-01
2228031,,,CSSE-02
2228034,,,CSSE-02
2228035,,,CSSE-02
2228036,,,CSSE-01
2228038,,,CSSE-01
2228039,,,CSSE-01
2228040,,,CSSE-02
2228041,,,CSSE-01
2228043,,,CSSE-01
2228044,,,CSSE-01
2228045,,,CSSE-02
2228046,,,CSSE-02
2228047,,,CSSE-01
2228048,,,CSSE-01
2228049,,,CSSE-01
2228051,,,CSSE-01
2228052,,,CSSE-01
2228053,,,CSSE-02
2228054,,,CSSE-01
2228055,,,CSSE-01
2228056,,,CSSE-01
2228057,,,CSSE-01
2228058,,,CSSE-02
2228059,,,CSSE-02
2228060,,,CSSE-02
2228061,,,CSSE-01
2228062,,,CSSE-02
2228063,,,CSSE-01
2228064,,,CSSE-02
2228065,,,CSSE-01
2228066,,,CSSE-02
2228067,,,CSSE-02
2228068,,,CSSE-02
2228069,,,CSSE-02
2228070,,,CSSE-02
2228073,,,CSSE-01
2228074,,,CSSE-02
2228075,,,CSSE-02
2228076,,,CSSE-02
2228077,,,CSSE-02
2228078,,,CSSE-02
2228079,,,CSSE-02
2228080,,,CSSE-02
2228081,,,CSSE-02
2228082,,,CSSE-02
2228083,,,CSSE-02
2228084,,,CSSE-02
2228085,,,CSSE-01
2228086,,,CSSE-01
2228087,,,CSSE-02
2228089,,,CSSE-01
2228090,,,CSSE-01
2228091,,,CSSE-01
2228092,,,CSSE-01
2228094,,,CSSE-01
2228095,,,CSSE-01
2228097,,,CSSE-01
2228101,,,CSSE-01
2228102,,,CSSE-01
2228103,,,CSSE-01
2228104,,,CSSE-01
2228107,,,CSSE-01
2228109,,,CSSE-01
2228110,,,CSSE-01
2228112,,,CSSE-01
2228114,,,CSSE-02
2228115,,,CSSE-02
2228116,,,CSSE-01
2228117,,,CSSE-01
2228120,,,CSSE-02
2228122,,,CSSE-02
2228123,,,CSSE-01
2228124,,,CSSE-01
2228125,,,CSSE-01
2228126,,,CSSE-02
2228127,,,CSSE-01
2228128,,,CSSE-01
2228129,,,CSSE-01
2228130,,,CSSE-01
2228131,,,CSSE-01
2228132,,,CSSE-02
2228133,,,CSSE-01
2228134,,,CSSE-01
2228135,,,CSSE-01
2228136,,,CSSE-01
2228137,,,CSSE-01
2228138,,,CSSE-02
2228139,,,CSSE-01
2228140,,,CSSE-01
2228141,,,CSSE-01
2228142,,,CSSE-01
2228144,,,CSSE-02
2228146,,,CSSE-01
2228147,,,CSSE-02
2228148,,,CSSE-01
2228149,,,CSSE-01
2228150,,,CSSE-01
2228152,,,CSSE-01
2228154,,,CSSE-02
2228155,,,CSSE-01
2228156,,,CSSE-01
2228157,,,CSSE-01
2228158,,,CSSE-01
2228159,,,CSSE-01
2228160,,,CSSE-01
2228161,,,CSSE-01
2228162,,,CSSE-01
2228163,,,CSSE-01
2228165,,,CSSE-02
2228166,,,CSSE-02
2228167,,,CSSE-01
2228168,,,CSSE-02
2228169,,,CSSE-02
2228170,,,CSSE-02
2228171,,,CSSE-01
2228172,,,CSSE-02
2228173,,,CSSE-01
2228175,,,CSSE-01
2228176,,,CSSE-01
2228178,,,CSSE-02
2228180,,,CSSE-02
2228033,,,CSSE-02
2228050,,,CSSE-02
2228143,,,CSSE-01
2228181,,,CSSE-02
2105103,,,CSE-28
2205001,,,CSE-10
2205002,,,CSE-25
2205003,,,CSE-52
2205004,,,CSE-31
2205005,,,CSE-30
2205006,,,CSE-48
2205007,,,CSE-29
2205009,,,CSE-31
2205010,,,CSE-48
2205011,,,CSE-25
2205012,,,CSE-21
2205013,,,CSE-22
2205014,,,CSE-31
2205015,,,CSE-54
2205016,,,CSE-18
2205017,,,CSE-20
2205018,,,CSE-11
2205019,,,CSE-48
2205020,,,CSE-19
2205021,,,CSE-31
2205023,,,CSE-54
2205024,,,CSE-06
2205025,,,CSE-25
2205026,,,CSE-31
2205027,,,CSE-31
2205028,,,CSE-34
2205029,,,CSE-10
2205030,,,CSE-37
2205031,,,CSE-13
2205032,,,CSE-12
2205033,,,CSE-37
2205034,,,CSE-34
2205035,,,CSE-29
2205036,,,CSE-19
2205037,,,CSE-42
2205038,,,CSE-50
2205039,,,CSE-35
2205040,,,CSE-46
2205041,,,CSE-23
2205042,,,CSE-37
2205043,,,CSE-52
2205044,,,CSE-05
2205046,,,CSE-20
2205047,,,CSE-35
2205048,,,CSE-15
2205050,,,CSE-49
2205051,,,CSE-05
2205052,,,CSE-46
2205053,,,CSE-50
2205054,,,CSE-24
2205055,,,CSE-48
2205057,,,CSE-35
2205059,,,CSE-06
2205060,,,CSE-16
2205061,,,CSE-43
2205062,,,CSE-16
2205063,,,CSE-10
2205064,,,CSE-20
2205065,,,CSE-46
2205066,,,CSE-53
2205067,,,CSE-18
2205068,,,CSE-08
2205069,,,CSE-26
2205070,,,CSE-10
2205071,,,CSE-12
2205072,,,CSE-12
2205073,,,CSE-22
2205074,,,CSE-33
2205075,,,CSE-10
2205076,,,CSE-03
2205077,,,CSE-11
2205078,,,CSE-35
2205079,,,CSE-15
2205080,,,CSE-13
2205081,,,CSE-13
2205082,,,CSE-13
2205083,,,CSE-12
2205084,,,CSE-22
2205085,,,CSE-34
2205086,,,CSE-17
2205087,,,CSE-31
2205088,,,CSE-15
2205089,,,CSE-35
2205091,,,CSE-40
2205092,,,CSE-32
2205093,,,CSE-07
2205094,,,CSE-46
2205095,,,CSE-03
2205096,,,CSE-32
2205097,,,CSE-53
2205098,,,CSE-48
2205099,,,CSE-43
2205100,,,CSE-32
2205101,,,CSE-44
2205102,,,CSE-46
2205103,,,CSE-55
2205104,,,CSE-39
2205106,,,CSE-17
2205107,,,CSE-38
2205108,,,CSE-44
2205109,,,CSE-07
2205110,,,CSE-44
2205111,,,CSE-24
2205112,,,CSE-14
2205113,,,CSE-40
2205114,,,CSE-27
2205115,,,CSE-14
2205116,,,CSE-53
2205117,,,CSE-46
2205118,,,CSE-42
2205119,,,CSE-15
2205120,,,CSE-31
2205121,,,CSE-18
2205122,,,CSE-54
2205124,,,CSE-55
2205125,,,CSE-14
2205126,,,CSE-14
2205127,,,CSE-18
2205128,,,CSE-06
2205129,,,CSE-29
