DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM2,10 to 11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-01,A-DL-008,ML,A-DL-008,AI(L),A-DL-008,AI(L),B-201,CC|SPM,B-201,UHV,B-201,X
TUE,CSE-01,---,X,---,X,---,X,---,X,---,X,---,X
WED,CSE-01,---,X,B-201,HSE,B-201,AI,A-DL-008,AD,A-DL-008,AD(L),A-DL-008,AD(L)
THU,CSE-01,---,X,B-201,ML,B-201,AI,B-201,UHV,B-201,CC|SPM,B-201,HSE
FRI,CSE-01,B-201,HSE,B-201,AI,B-201,CC|SPM,B-201,ML,B-201,UHV,B-201,X
SAT,CSE-01,---,X,B-201,X,B-201,ML,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM2,10 to 11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-02,---,X,B-201,X,B-201,CC|SPM,B-202,ML,B-202,UHV,B-202,HSE
TUE,CSE-02,---,X,---,X,---,X,B-201,AI,B-201,UHV,B-201,ML
WED,CSE-02,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-02,B-202,HSE,B-202,ML,B-202,CC|SPM,A-DL-008,AD,A-DL-008,AD(L),A-DL-008,AD(L)
FRI,CSE-02,B-202,AI,B-202,CC|SPM,B-202,UHV,---,HSE,---,X,---,X
SAT,CSE-02,---,X,A-DL-106,AI(L),A-DL-106,AI(L),A-LH-003,AI,A-LH-003,ML,A-LH-003,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM2,10 to 11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-03,---,X,---,X,---,X,B-203,ML,B-203,CC|SPM,B-203,AI
TUE,CSE-03,B-201,HSE,B-201,CC|SPM,B-201,AI,B-202,ML,B-202,UHV,B-202,X
WED,CSE-03,A-DL-008,ML,A-DL-008,AI(L),A-DL-008,AI(L),B-201,AI,B-201,UHV,B-201,HSE
THU,CSE-03,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-03,---,X,B-203,HSE,B-203,UHV,A-DL-008,AD,A-DL-008,AD(L),A-DL-008,AD(L)
SAT,CSE-03,---,X,B-203,CC|SPM,B-203,ML,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM2,10 to 11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-04,---,X,---,X,---,X,B-204,HSE,B-204,ML,B-204,UHV
TUE,CSE-04,A-DL-102,ML,A-DL-102,AI(L),A-DL-102,AI(L),B-203,CC|SPM,B-203,AI,B-203,HSE
WED,CSE-04,B-202,AI,B-202,UHV,B-202,CC|SPM,B-202,ML,B-202,HSE,B-202,X
THU,CSE-04,---,X,B-304,X,B-304,ML,B-202,AI,B-202,UHV,B-202,CC|SPM
FRI,CSE-04,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-04,WL-102,AD,WL-102,AD(L),WL-102,AD(L),---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM2,10 to 11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-05,---,X,---,X,---,X,A-DL-008,AD,A-DL-008,AD(L),A-DL-008,AD(L)
